market,bid,offer,timestamp
DAX,23455.5,23462.5,2025-08-03T23:09:31.990Z
DAX,23455.9,23462.9,2025-08-03T23:09:32.240Z
DAX,23456.3,23463.3,2025-08-03T23:09:41.091Z
DAX,23456.8,23463.8,2025-08-03T23:09:43.258Z
DAX,23455.9,23462.9,2025-08-03T23:09:46.693Z
DAX,23456.8,23463.8,2025-08-03T23:09:54.028Z
DAX,23457.6,23464.6,2025-08-03T23:09:59.570Z
DAX,23455.9,23462.9,2025-08-03T23:10:01.741Z
DAX,23457.2,23464.2,2025-08-03T23:10:02.735Z
DAX,23457.6,23464.6,2025-08-03T23:10:02.935Z
DAX,23457.2,23464.2,2025-08-03T23:10:05.607Z
DAX,23457.6,23464.6,2025-08-03T23:10:05.814Z
DAX,23457.2,23464.2,2025-08-03T23:10:06.079Z
DAX,23456.8,23463.8,2025-08-03T23:10:06.255Z
DAX,23457.6,23464.6,2025-08-03T23:10:06.498Z
DAX,23456.8,23463.8,2025-08-03T23:10:07.531Z
DAX,23455.9,23462.9,2025-08-03T23:10:11.577Z
DAX,23455.1,23462.1,2025-08-03T23:10:12.912Z
DAX,23454.2,23461.2,2025-08-03T23:10:13.129Z
DAX,23455.1,23462.1,2025-08-03T23:10:14.962Z
DAX,23454.2,23461.2,2025-08-03T23:10:19.309Z
DAX,23455.1,23462.1,2025-08-03T23:10:22.517Z
DAX,23455.9,23462.9,2025-08-03T23:10:32.147Z
DAX,23455.5,23462.5,2025-08-03T23:10:32.861Z
DAX,23455.9,23462.9,2025-08-03T23:10:33.482Z
DAX,23456.8,23463.8,2025-08-03T23:10:34.767Z
DAX,23456.3,23463.3,2025-08-03T23:10:40.529Z
DAX,23455.9,23462.9,2025-08-03T23:10:42.194Z
DAX,23456.3,23463.3,2025-08-03T23:10:43.105Z
DAX,23455.9,23462.9,2025-08-03T23:10:45.420Z
DAX,23454.6,23461.6,2025-08-03T23:10:45.675Z
DAX,23454.2,23461.2,2025-08-03T23:10:46.372Z
DAX,23455.1,23462.1,2025-08-03T23:10:46.588Z
DAX,23455.5,23462.5,2025-08-03T23:10:49.037Z
DAX,23455.9,23462.9,2025-08-03T23:10:49.265Z
DAX,23455.5,23462.5,2025-08-03T23:10:57.732Z
DAX,23455.9,23462.9,2025-08-03T23:10:59.337Z
DAX,23455.5,23462.5,2025-08-03T23:10:59.551Z
DAX,23454.6,23461.6,2025-08-03T23:11:02.110Z
DAX,23455.1,23462.1,2025-08-03T23:11:02.342Z
DAX,23454.6,23461.6,2025-08-03T23:11:02.845Z
DAX,23454.2,23461.2,2025-08-03T23:11:03.067Z
DAX,23454.6,23461.6,2025-08-03T23:11:06.329Z
DAX,23455.1,23462.1,2025-08-03T23:11:07.816Z
DAX,23454.6,23461.6,2025-08-03T23:11:18.698Z
DAX,23454.2,23461.2,2025-08-03T23:11:19.650Z
DAX,23453.4,23460.4,2025-08-03T23:11:22.394Z
DAX,23454.2,23461.2,2025-08-03T23:11:23.167Z
DAX,23454.6,23461.6,2025-08-03T23:11:24.094Z
DAX,23455.1,23462.1,2025-08-03T23:11:24.774Z
DAX,23455.9,23462.9,2025-08-03T23:11:29.104Z
DAX,23457.6,23464.6,2025-08-03T23:11:42.267Z
DAX,23457.2,23464.2,2025-08-03T23:11:45.100Z
DAX,23456.8,23463.8,2025-08-03T23:11:45.354Z
DAX,23456.3,23463.3,2025-08-03T23:11:46.483Z
DAX,23455.9,23462.9,2025-08-03T23:11:46.878Z
DAX,23455.5,23462.5,2025-08-03T23:11:49.323Z
DAX,23455.1,23462.1,2025-08-03T23:11:51.057Z
DAX,23454.2,23461.2,2025-08-03T23:12:02.169Z
DAX,23455.1,23462.1,2025-08-03T23:12:02.913Z
DAX,23453.8,23460.8,2025-08-03T23:12:12.719Z
DAX,23453.4,23460.4,2025-08-03T23:12:13.916Z
DAX,23452.5,23459.5,2025-08-03T23:12:19.289Z
DAX,23451.7,23458.7,2025-08-03T23:12:24.742Z
DAX,23450,23457,2025-08-03T23:12:24.937Z
DAX,23450.4,23457.4,2025-08-03T23:12:27.434Z
DAX,23450.9,23457.9,2025-08-03T23:12:28.297Z
DAX,23450.4,23457.4,2025-08-03T23:12:32.220Z
DAX,23450.9,23457.9,2025-08-03T23:12:32.631Z
DAX,23451.3,23458.3,2025-08-03T23:12:32.875Z
DAX,23451.7,23458.7,2025-08-03T23:12:33.071Z
DAX,23451.3,23458.3,2025-08-03T23:12:33.593Z
DAX,23451.7,23458.7,2025-08-03T23:12:35.302Z
DAX,23451.3,23458.3,2025-08-03T23:12:35.504Z
DAX,23450.9,23457.9,2025-08-03T23:12:37.007Z
DAX,23448.7,23455.7,2025-08-03T23:12:37.429Z
DAX,23449.2,23456.2,2025-08-03T23:12:37.619Z
DAX,23448.7,23455.7,2025-08-03T23:12:38.518Z
DAX,23449.2,23456.2,2025-08-03T23:12:39.103Z
DAX,23449.6,23456.6,2025-08-03T23:12:39.326Z
DAX,23449.2,23456.2,2025-08-03T23:12:39.553Z
DAX,23448.7,23455.7,2025-08-03T23:12:41.213Z
DAX,23448.3,23455.3,2025-08-03T23:12:41.432Z
DAX,23447.9,23454.9,2025-08-03T23:12:41.658Z
DAX,23448.3,23455.3,2025-08-03T23:12:42.646Z
DAX,23447.9,23454.9,2025-08-03T23:12:42.868Z
DAX,23448.3,23455.3,2025-08-03T23:12:43.136Z
DAX,23448.7,23455.7,2025-08-03T23:12:43.358Z
DAX,23449.2,23456.2,2025-08-03T23:12:43.589Z
DAX,23448.7,23455.7,2025-08-03T23:12:45.390Z
DAX,23449.2,23456.2,2025-08-03T23:12:45.611Z
DAX,23447.5,23454.5,2025-08-03T23:12:47.757Z
DAX,23447.9,23454.9,2025-08-03T23:12:48.171Z
DAX,23448.3,23455.3,2025-08-03T23:12:48.393Z
DAX,23447.9,23454.9,2025-08-03T23:12:54.766Z
DAX,23448.3,23455.3,2025-08-03T23:12:55.121Z
DAX,23448.7,23455.7,2025-08-03T23:12:55.344Z
DAX,23448.3,23455.3,2025-08-03T23:12:58.996Z
DAX,23447.9,23454.9,2025-08-03T23:12:59.224Z
DAX,23448.3,23455.3,2025-08-03T23:12:59.476Z
DAX,23447.5,23454.5,2025-08-03T23:13:00.014Z
DAX,23447.9,23454.9,2025-08-03T23:13:00.516Z
DAX,23448.3,23455.3,2025-08-03T23:13:02.858Z
DAX,23447.9,23454.9,2025-08-03T23:13:13.458Z
DAX,23448.3,23455.3,2025-08-03T23:13:14.375Z
DAX,23447.9,23454.9,2025-08-03T23:13:15.195Z
DAX,23448.3,23455.3,2025-08-03T23:13:16.622Z
DAX,23447.9,23454.9,2025-08-03T23:13:16.849Z
DAX,23448.3,23455.3,2025-08-03T23:13:18.914Z
DAX,23448.7,23455.7,2025-08-03T23:13:23.947Z
DAX,23447.9,23454.9,2025-08-03T23:13:24.173Z
DAX,23448.3,23455.3,2025-08-03T23:13:25.304Z
DAX,23447.9,23454.9,2025-08-03T23:13:36.962Z
DAX,23448.3,23455.3,2025-08-03T23:13:38.124Z
DAX,23448.7,23455.7,2025-08-03T23:13:38.309Z
DAX,23448.3,23455.3,2025-08-03T23:13:39.820Z
DAX,23447.9,23454.9,2025-08-03T23:13:40.832Z
DAX,23444.9,23451.9,2025-08-03T23:13:41.047Z
DAX,23444.1,23451.1,2025-08-03T23:13:41.273Z
DAX,23443.3,23450.3,2025-08-03T23:13:45.206Z
DAX,23442.4,23449.4,2025-08-03T23:13:47.754Z
DAX,23443.3,23450.3,2025-08-03T23:13:47.985Z
DAX,23442.8,23449.8,2025-08-03T23:13:48.321Z
DAX,23443.3,23450.3,2025-08-03T23:13:48.815Z
DAX,23442.8,23449.8,2025-08-03T23:13:50.967Z
DAX,23443.3,23450.3,2025-08-03T23:13:51.467Z
