timestamp,market,direction,size,entry_price,stop_loss,take_profit,deal_reference,deal_status,deal_id,actual_entry_price,actual_stop_level,actual_limit_level,confirmation_timestamp,close_timestamp,close_level,last_update,strategy_signals.rsi,strategy_signals.atr,strategy_signals.regime,strategy_signals.trend,strategy_signals.signal,strategy_signals.momentum,profit_loss,execution_time,status
2025-08-08T08:03:47.494Z,FTSE 100,SELL,1,9105.5,10,10,2WZA2B2DW5WTZDZ,ACCEPTED,,,,,,2025-08-08T09:07:33.289Z,9095.5,2025-08-08T09:07:33.289Z,28.952388839189325,0.28041136354975027,,,SELL,,,2.60161,CLOSED
2025-08-08T08:07:43.102Z,FTSE 100,SELL,1,9104.4,10,10,K48DYCCBA7ETZDZ,ACCEPTED,DIAAAAUM8KF2ZAY,9104.4,9114.4,9094.4,2025-08-08T08:07:43.147Z,2025-08-08T08:10:18.307Z,,2025-08-08T08:10:18.307Z,49.342223617269475,0.3035439779406747,mean-reverting,uptrend,SELL,0.0032945672586048858,,0.503042,CLOSED
2025-08-08T08:10:29.094Z,FTSE 100,SELL,1,9105.4,10,10,3WXYDWM33C6TZDZ,ACCEPTED,,,,,2025-08-08T08:10:29.103Z,2025-08-08T09:07:33.365Z,9095.4,2025-08-08T09:07:33.365Z,52.46274701123651,0.3466779111546562,mean-reverting,uptrend,SELL,-0.005490583649037095,,1.430259,CLOSED
2025-08-08T08:17:43.259Z,FTSE 100,SELL,1,9105.4,10,10,CMT7ZHSP3MJTZDZ,ACCEPTED,,,,,,2025-08-08T09:07:33.407Z,9095.4,2025-08-08T09:07:33.407Z,43.369637038267285,0.24087879904009657,mean-reverting,downtrend,SELL,-0.004391598871356095,,1.578766,CLOSED
2025-08-08T08:19:25.398Z,FTSE 100,SELL,1,9107.7,10,10,UHEGMV3NVF2TZDZ,ACCEPTED,DIAAAAUM8N9NUAH,9107.7,9117.7,9097.7,2025-08-08T08:19:25.405Z,2025-08-08T09:07:33.192Z,9095.7,2025-08-08T09:07:33.192Z,55.05115483524993,0.2194266204994838,mean-reverting,uptrend,SELL,-0.001098092613138757,,0.720618,CLOSED
2025-08-08T08:22:12.023Z,FTSE 100,SELL,1,9106.1,10,10,4TKSVGGSEFJTZDZ,ACCEPTED,,,,,,2025-08-08T09:03:09.296Z,9096.1,2025-08-08T09:03:09.296Z,62.909546119526446,0.3024765437426179,mean-reverting,uptrend,SELL,0.010980564401008586,,1.569449,CLOSED
2025-08-08T08:24:15.853Z,FTSE 100,SELL,1,9104.5,10,10,993SHZHW6HSTZDZ,ACCEPTED,DIAAAAUM8QVZGAE,9104.5,9114.5,9094.5,2025-08-08T08:24:15.911Z,2025-08-08T08:25:35.855Z,,2025-08-08T08:25:35.855Z,57.301297520892135,0.21603990851825602,mean-reverting,uptrend,SELL,-0.002195944091276658,,0.720894,CLOSED
2025-08-08T08:26:26.088Z,FTSE 100,SELL,1,9104.2,10,10,RDVXKMZ52Q2TZDZ,ACCEPTED,DIAAAAUM8Q67YAG,9104.2,9114.2,9094.2,2025-08-08T08:26:26.114Z,2025-08-08T08:30:40.713Z,,2025-08-08T08:30:40.713Z,45.22314336991933,0.2578548884014522,mean-reverting,downtrend,SELL,-0.003295001482761517,,0.419061,CLOSED
2025-08-08T08:33:36.657Z,FTSE 100,SELL,1,9102.7,10,10,WNSPJNRX59ETZDZ,ACCEPTED,,,,,2025-08-08T08:33:36.670Z,2025-08-08T09:13:48.459Z,9092.7,2025-08-08T09:13:48.459Z,46.394778076361774,0.4757805660431712,mean-reverting,downtrend,SELL,0.003295761650501383,,0.466758,CLOSED
2025-08-08T08:36:16.881Z,FTSE 100,SELL,1,9100.1,10,10,MBG8TYHTWCJTZDZ,ACCEPTED,,,,,,2025-08-08T09:21:47.915Z,9090.1,2025-08-08T09:21:47.915Z,53.61673207293763,0.30502926213129467,mean-reverting,uptrend,SELL,0,,1.440042,CLOSED
2025-08-08T08:38:17.421Z,FTSE 100,SELL,1,9102.9,10,10,ZR7T3G93ACETZDZ,ACCEPTED,,,,,,2025-08-08T09:13:40.165Z,9092.9,2025-08-08T09:13:40.165Z,47.51392721019806,0.22617761043259457,mean-reverting,downtrend,SELL,-0.002197512415957892,,0.729939,CLOSED
2025-08-08T08:42:39.391Z,FTSE 100,SELL,1,9106.5,10,10,6HWNKH9B7WNTZDZ,ACCEPTED,DIAAAAUM8VL5TA3,9106.5,9116.5,9096.5,2025-08-08T08:42:39.826Z,2025-08-08T14:14:39.849Z,9080.5,2025-08-08T14:14:39.849Z,66.68630947799095,0.2883323890608991,mean-reverting,uptrend,SELL,0.010982735140352418,,2.768468,CLOSED
2025-08-08T08:47:24.998Z,FTSE 100,SELL,1,9105.5,10,10,26UH67AZA62TZDZ,ACCEPTED,,,,,,2025-08-08T09:07:33.343Z,9095.5,2025-08-08T09:07:33.343Z,52.386959593360565,0.45097688662691326,mean-reverting,uptrend,SELL,0,,0.544917,CLOSED
2025-08-08T08:49:42.945Z,FTSE 100,SELL,1,9105.7,10,10,F8DZ9FJCERNTZDZ,ACCEPTED,,,,,,2025-08-08T09:07:33.251Z,9095.7,2025-08-08T09:07:33.251Z,43.45931179904099,0.27855659496585783,mean-reverting,downtrend,SELL,0.005492453369071448,,1.811686,CLOSED
2025-08-08T08:53:13.928Z,DAX,BUY,1,24144.1,10,10,MP8S428XT4STZDZ,ACCEPTED,,,,,2025-08-08T08:53:13.957Z,2025-08-08T08:54:41.319Z,24134.1,2025-08-08T08:54:41.319Z,63.34920310088952,0.7860227968639639,trending,uptrend,BUY,-0.0020712338754447224,,2.211837,CLOSED
2025-08-08T08:53:35.995Z,FTSE 100,SELL,1,9103.2,10,10,LWUX2S6H3QWTZDZ,ACCEPTED,,,,,2025-08-08T08:53:36.035Z,2025-08-08T09:12:40.385Z,9093.2,2025-08-08T09:12:40.385Z,53.735847862294996,0.23114061489844046,mean-reverting,uptrend,SELL,0.00659065445198781,,0.42174,CLOSED
2025-08-08T08:56:31.890Z,FTSE 100,SELL,1,9099.5,10,10,KYKEUUTY9VWTZDZ,ACCEPTED,DIAAAAUM8Y89VBD,9099.5,9109.5,9089.5,2025-08-08T08:56:34.354Z,2025-08-08T09:01:07.664Z,,2025-08-08T09:01:07.664Z,31.36567544389814,0.26563134814641143,mean-reverting,downtrend,SELL,0,,1.727285,CLOSED
2025-08-08T09:02:52.968Z,FTSE 100,SELL,1,9095.8,10,10,6R8PP5R7W3WTZDZ,ACCEPTED,,,,,2025-08-08T09:02:53.152Z,2025-08-08T10:04:00.478Z,9105.8,2025-08-08T10:04:00.478Z,40.372856692803516,0.27935633454778264,mean-reverting,downtrend,SELL,0.0021989379130005204,,1.508304,CLOSED
2025-08-08T09:07:48.519Z,FTSE 100,SELL,1,9094.4,10,10,H6GLYW2FBWATZDZ,ACCEPTED,,,,,2025-08-08T09:07:48.629Z,2025-08-08T10:03:52.067Z,9104.4,2025-08-08T10:03:52.067Z,46.93662934793715,0.31362566947739623,mean-reverting,downtrend,SELL,0.0054970425910960685,,1.403844,CLOSED
2025-08-08T09:12:05.149Z,FTSE 100,SELL,1,9094.4,10,10,4RTR4JHFJJATZDZ,ACCEPTED,,,,,,2025-08-08T10:03:52.144Z,9104.4,2025-08-08T10:03:52.144Z,52.29753049734237,0.26383729045868565,mean-reverting,downtrend,SELL,0.004398649614567596,,0.625392,CLOSED
2025-08-08T09:14:16.667Z,FTSE 100,SELL,1,9092,10,10,L5FF334M9BATZDZ,ACCEPTED,DIAAAAUM84FBLA7,9092,9102,9082,2025-08-08T09:14:16.767Z,2025-08-08T09:16:18.304Z,,2025-08-08T09:16:18.304Z,49.87604632058997,0.29711771310410967,mean-reverting,downtrend,SELL,0.008798944126686692,,1.307917,CLOSED
2025-08-08T09:18:41.493Z,FTSE 100,SELL,1,9091.8,10,10,N4PB98EXKJ6TZDZ,ACCEPTED,,,,,2025-08-08T09:18:41.507Z,2025-08-08T10:01:14.942Z,9101.8,2025-08-08T10:01:14.942Z,49.52482528839242,0.20493375975798928,mean-reverting,downtrend,SELL,0.0021998086166430397,,0.46313,CLOSED
2025-08-08T09:23:04.971Z,FTSE 100,SELL,1,9090.3,10,10,TNWY3KSWNL2TZDZ,ACCEPTED,DIAAAAUM855P5A8,9090.3,9100.3,9080.3,2025-08-08T09:23:04.999Z,2025-08-08T14:14:39.870Z,9080.3,2025-08-08T14:14:39.870Z,52.5143296346211,0.27231729115556924,mean-reverting,downtrend,SELL,0.005500913151590403,,0.501002,CLOSED
2025-08-08T09:27:40.495Z,FTSE 100,SELL,1,9089.8,10,10,7L6NFVSPFB6TZDZ,ACCEPTED,,,,,,2025-08-08T10:00:58.854Z,9099.8,2025-08-08T10:00:58.854Z,51.48408034272223,0.21980288436380585,mean-reverting,downtrend,SELL,0.0033003663406860895,,1.584106,CLOSED
2025-08-08T09:29:32.618Z,FTSE 100,SELL,1,9091.5,10,10,GGCJGEBLVVETZDZ,ACCEPTED,DIAAAAUM88J9TAQ,9091.5,9101.5,9081.5,2025-08-08T09:29:32.647Z,2025-08-08T09:31:28.750Z,,2025-08-08T09:31:28.751Z,59.898497676912875,0.23440500180045354,mean-reverting,uptrend,SELL,0.004399810808153326,,0.486107,CLOSED
2025-08-08T09:32:22.745Z,FTSE 100,SELL,1,9091.2,10,10,D3UU4LEX7A2TZDZ,ACCEPTED,,,,,2025-08-08T09:32:22.787Z,2025-08-08T10:01:10.631Z,9101.2,2025-08-08T10:01:10.631Z,34.57105038333822,0.25845611043909,mean-reverting,downtrend,SELL,0,,2.690442,CLOSED
2025-08-08T09:37:21.237Z,FTSE 100,SELL,1,9093.8,10,10,ZNC3HKQHVRATZDZ,ACCEPTED,,,,,,2025-08-08T10:03:06.234Z,9103.8,2025-08-08T10:03:06.234Z,48.86779358421679,0.2626030867015739,mean-reverting,uptrend,SELL,-0.006598192095375044,,0.780821,CLOSED
2025-08-08T09:39:35.722Z,FTSE 100,SELL,1,9093.4,10,10,YDXCULFDXCJTZDZ,ACCEPTED,DIAAAAUM9AWV9AS,9093.4,9103.4,9083.4,2025-08-08T09:39:35.735Z,2025-08-08T09:41:35.889Z,,2025-08-08T09:41:35.889Z,66.17503151910293,0.20894254196268702,mean-reverting,uptrend,SELL,0.003298660743733528,,1.210272,CLOSED
2025-08-08T09:41:50.740Z,FTSE 100,SELL,1,9091.3,10,10,UDBUFBRPHQSTZDZ,ACCEPTED,DIAAAAUM9BX28AH,9091.3,9101.3,9081.3,2025-08-08T09:41:51.012Z,2025-08-08T09:46:43.597Z,,2025-08-08T09:46:43.597Z,38.24439321044906,0.2618210296833701,mean-reverting,downtrend,SELL,-0.002199639259148345,,2.395367,CLOSED
2025-08-08T09:47:11.900Z,FTSE 100,SELL,1,9094.9,10,10,Q9UTK7T2NF2TZDZ,ACCEPTED,,,,,,2025-08-08T10:03:52.181Z,9104.9,2025-08-08T10:03:52.181Z,69.81742399999138,0.3003343135560438,mean-reverting,uptrend,SELL,0.014294510907819635,,1.309862,CLOSED
2025-08-08T10:02:16.393Z,DAX,BUY,1,24164.2,10,10,YGQRTC4DAQ6TZDZ,ACCEPTED,DIAAAAUM9GNS7BD,24164.2,24154.2,24174.2,2025-08-08T10:02:16.427Z,2025-08-08T11:13:31.280Z,24190.2,2025-08-08T11:13:31.280Z,59.072241469139094,0.8449295012281759,mean-reverting,uptrend,BUY,-0.008278728221766674,,1.565948,CLOSED
2025-08-08T10:09:19.937Z,DAX,BUY,1,24163.9,10,10,7NNEK6ZUPGSTZDZ,ACCEPTED,,,,,,2025-08-08T10:11:17.294Z,24153.9,2025-08-08T10:11:17.294Z,57.70999088694357,0.6530076101382363,mean-reverting,uptrend,BUY,0.007863262012164363,,0.663821,CLOSED
2025-08-08T10:12:20.186Z,DAX,BUY,1,24155.8,10,10,C3X9N2RZMAETZDZ,ACCEPTED,,,,,2025-08-08T10:12:20.195Z,2025-08-08T10:17:20.433Z,24165.8,2025-08-08T10:17:20.433Z,47.94803635827564,0.3701554270480046,mean-reverting,downtrend,BUY,-0.0004138918666241054,,1.549673,CLOSED
2025-08-08T10:23:24.236Z,DAX,BUY,1,24168.7,10,10,TXX9EMMBHGATZDZ,ACCEPTED,,,,,2025-08-08T10:23:24.706Z,2025-08-08T10:33:12.478Z,24158.7,2025-08-08T10:33:12.478Z,62.33185737514141,0.5100542662813022,mean-reverting,uptrend,BUY,0.006208814861419221,,2.016626,CLOSED
2025-08-08T10:27:08.279Z,DAX,BUY,1,24169.4,10,10,WPE3S3H7K62TZDZ,ACCEPTED,,,,,,2025-08-08T10:33:12.371Z,24159.4,2025-08-08T10:33:12.371Z,40.879147000546425,0.48542662347718185,mean-reverting,downtrend,BUY,-0.00455026805216141,,0.722006,CLOSED
2025-08-08T10:30:07.703Z,DAX,BUY,1,24171.9,10,10,QPF3QVTH8P2TZDZ,ACCEPTED,,,,,2025-08-08T10:30:07.727Z,2025-08-08T10:32:10.440Z,24161.9,2025-08-08T10:32:10.440Z,58.87710130031745,0.5111246749930843,mean-reverting,uptrend,BUY,0.004137942449489174,,2.438965,CLOSED
2025-08-08T10:33:41.020Z,DAX,BUY,1,24161.4,10,10,Y6LE6G2YMYWTZDZ,ACCEPTED,DIAAAAUM9PPUDAM,24161.4,24151.4,24171.4,2025-08-08T10:33:41.052Z,2025-08-08T10:35:34.000Z,24171.4,2025-08-08T10:35:34.000Z,38.50416993878406,0.5066216733901538,mean-reverting,downtrend,BUY,-0.002068722977310866,,0.53077,CLOSED
2025-08-08T10:37:39.446Z,DAX,BUY,1,24172.4,10,10,XBJG2MZJC3WTZDZ,ACCEPTED,,,,,,2025-08-08T10:44:37.628Z,24162.4,2025-08-08T10:44:37.628Z,45.630802376691605,0.5146979544036305,mean-reverting,downtrend,BUY,-0.004137463073139447,,1.685237,CLOSED
2025-08-08T10:40:48.600Z,DAX,BUY,1,24165.9,10,10,L2HJUCN9XRWTZDZ,ACCEPTED,,,,,,2025-08-08T10:56:29.928Z,24175.9,2025-08-08T10:56:29.928Z,52.498504502876195,0.6556171013294295,mean-reverting,uptrend,BUY,-0.006204885313032538,,0.654491,CLOSED
2025-08-08T10:44:16.773Z,DAX,BUY,1,24168.9,10,10,5Z7PBKGTCC2TZDZ,ACCEPTED,,,,,2025-08-08T10:44:16.803Z,2025-08-08T10:45:13.941Z,24158.9,2025-08-08T10:45:13.941Z,56.00531991090656,0.5022917832992425,mean-reverting,uptrend,BUY,0.0004137600026599131,,1.723628,CLOSED
2025-08-08T10:47:25.666Z,DAX,BUY,1,24172.6,10,10,M686ZQV5A42TZDZ,ACCEPTED,DIAAAAUM9SZLTBC,24172.6,24162.6,24182.6,2025-08-08T10:47:25.688Z,2025-08-08T11:15:00.661Z,24198.6,2025-08-08T11:15:00.661Z,38.29789309992732,0.46206282773201196,mean-reverting,downtrend,BUY,-0.0033113542196927526,,0.667063,CLOSED
2025-08-08T10:56:42.597Z,DAX,BUY,1,24184.1,10,10,EWD25Q6JTFNTZDZ,ACCEPTED,DIAAAAUM9VTC5AV,24184.1,24174.1,24194.1,2025-08-08T10:56:42.628Z,2025-08-08T10:58:03.776Z,24174.1,2025-08-08T10:58:03.776Z,43.023507079324645,0.4605002746420766,mean-reverting,downtrend,BUY,-0.00496481189568021,,0.591788,CLOSED
2025-08-08T11:00:47.332Z,FTSE 100,SELL,1,9100.8,10,10,2JAP69UFEVETZDZ,ACCEPTED,,,,,,2025-08-08T12:02:45.434Z,9090.8,2025-08-08T12:02:45.434Z,49.48551922614615,0.3169783263881557,mean-reverting,uptrend,SELL,0.0032960513305146932,,1.988743,CLOSED
2025-08-08T11:04:59.565Z,FTSE 100,SELL,1,9102,10,10,STPR3KBY3DJTZDZ,ACCEPTED,DIAAAAUM9WVEMAM,9102,9112,9092,2025-08-08T11:04:59.694Z,2025-08-08T12:02:20.838Z,9092,2025-08-08T12:02:20.838Z,48.744979491764155,0.3123237377225733,mean-reverting,uptrend,SELL,-0.0021971985718294285,,2.357226,CLOSED
2025-08-08T11:10:26.905Z,FTSE 100,SELL,1,9100,10,10,CE9LV3YSQMJTZDZ,ACCEPTED,,,,,,2025-08-08T12:03:00.208Z,9090,2025-08-08T12:03:00.208Z,52.65930701157517,0.3316737137877473,mean-reverting,downtrend,SELL,0.005494263988392589,,2.351276,CLOSED
2025-08-08T11:12:21.454Z,FTSE 100,SELL,1,9101.5,10,10,YKK99MU5QPATZDZ,ACCEPTED,,,,,,2025-08-08T12:02:29.881Z,9091.5,2025-08-08T12:02:29.881Z,51.33839291647236,0.34544362088686187,mean-reverting,uptrend,SELL,-0.005493901769038079,,1.391217,CLOSED
2025-08-08T11:18:04.293Z,FTSE 100,SELL,1,9098.2,10,10,YN7Z3M7MGZNTZDZ,ACCEPTED,,,,,2025-08-08T11:18:41.528Z,2025-08-08T12:19:39.098Z,9088.2,2025-08-08T12:19:39.098Z,47.90781791797237,0.2850555974728584,mean-reverting,downtrend,SELL,0.005496317467290623,,0.748359,CLOSED
2025-08-08T11:22:38.136Z,FTSE 100,SELL,1,9098,10,10,NALUT5XVDENTZDZ,ACCEPTED,,,,,,2025-08-08T12:19:39.162Z,9088,2025-08-08T12:19:39.162Z,62.63168529176395,0.27978842738921245,mean-reverting,uptrend,SELL,0.010992030777678963,,0.50598,CLOSED
2025-08-08T12:31:33.404Z,FTSE 100,SELL,1,9091.5,10,10,V4NQ4R8JD82TZDZ,ACCEPTED,,,,,2025-08-08T12:31:33.424Z,2025-08-08T14:13:04.672Z,9081.5,2025-08-08T14:13:04.672Z,39.08171000101135,0.3044846512619331,mean-reverting,downtrend,SELL,-0.002199808616654142,,1.808824,CLOSED
2025-08-08T12:36:48.465Z,FTSE 100,SELL,1,9092.6,10,10,FALSEFZ7QG6TZDZ,ACCEPTED,DIAAAAUNA6UAWAP,9092.6,9102.6,9082.6,2025-08-08T12:36:48.799Z,2025-08-08T12:40:45.744Z,,2025-08-08T12:40:45.744Z,56.7767539349322,0.33506926886102983,mean-reverting,uptrend,SELL,0,,2.465355,CLOSED
2025-08-08T12:41:23.821Z,FTSE 100,SELL,1,9093.9,10,10,9BNW5VPC6FSTZDZ,ACCEPTED,,,,,,2025-08-08T14:11:08.061Z,9083.9,2025-08-08T14:11:08.061Z,47.427093450442534,0.2248836419617547,mean-reverting,downtrend,SELL,0.002199542495162632,,0.809165,CLOSED
2025-08-08T12:43:29.346Z,FTSE 100,SELL,1,9095.7,10,10,DQH2TWYGCAETZDZ,ACCEPTED,,,,,2025-08-08T12:43:29.467Z,2025-08-08T14:05:40.491Z,9085.7,2025-08-08T14:05:40.491Z,69.79812674487226,0.29469123505551165,mean-reverting,uptrend,SELL,0.016494391906740624,,0.685728,CLOSED
2025-08-08T12:47:53.581Z,FTSE 100,SELL,1,9092.2,10,10,3AWLBUQGCWSTZDZ,ACCEPTED,,,,,,2025-08-08T14:11:47.160Z,9082.2,2025-08-08T14:11:47.160Z,35.98008523092594,0.2669367375745847,mean-reverting,downtrend,SELL,-0.0021995183054790424,,1.770645,CLOSED
2025-08-08T12:49:59.066Z,FTSE 100,SELL,1,9090.9,10,10,LCFDPPPX8TNTZDZ,ACCEPTED,,,,,,2025-08-08T14:14:38.135Z,9080.9,2025-08-08T14:14:38.136Z,38.9828745473146,0.29426187883167587,mean-reverting,downtrend,SELL,-0.010998922105631692,,1.637598,CLOSED
2025-08-08T12:53:46.905Z,FTSE 100,SELL,1,9094.6,10,10,J87ENP6K7BSTZDZ,ACCEPTED,,,,,,2025-08-08T14:11:07.066Z,9084.6,2025-08-08T14:11:07.066Z,62.16418393359349,0.3735421003133329,mean-reverting,uptrend,SELL,0.018695905596688434,,0.800414,CLOSED
2025-08-08T12:56:10.311Z,FTSE 100,SELL,1,9095.8,10,10,XGUJ3QGGRATZDZ,ACCEPTED,,,,,2025-08-08T12:56:10.347Z,2025-08-08T14:05:38.637Z,9085.8,2025-08-08T14:05:38.637Z,49.59031174304313,0.3144068359776505,mean-reverting,uptrend,SELL,-0.0065971038714085495,,1.821663,CLOSED
2025-08-08T14:13:18.463Z,DAX,BUY,1,24202.8,10,10,8FGAGCPUCATZDZ,ACCEPTED,,,,,,2025-08-08T14:13:47.728Z,24192.8,2025-08-08T14:13:47.728Z,50.37636401854045,0.6794858009736557,mean-reverting,downtrend,BUY,0.0037154770259784087,,1.915054,CLOSED
2025-08-08T14:13:32.120Z,FTSE 100,SELL,1,9082,10,10,CYNDUSTUNA2TZDZ,ACCEPTED,DIAAAAUNBJ4TVAJ,9082,9092,9072,2025-08-08T14:13:32.180Z,2025-08-08T14:14:18.440Z,,2025-08-08T14:14:18.440Z,46.891179067926046,0.3032639012100191,mean-reverting,downtrend,SELL,-0.0055056377730844375,,0.511574,CLOSED
2025-08-08T14:16:16.100Z,FTSE 100,SELL,1,9082.5,10,10,8KVQXC4DJGSTZDZ,ACCEPTED,DIAAAAUNBKQQZAP,9082.5,9092.5,9072.5,2025-08-08T14:16:16.287Z,2025-08-08T14:19:21.165Z,,2025-08-08T14:19:21.165Z,40.908388030441635,0.2796247933566617,mean-reverting,downtrend,SELL,-0.002202473377610481,,1.44165,CLOSED
2025-08-08T14:17:20.096Z,DAX,BUY,1,24169.7,10,10,JK44GDHZPUATZDZ,ACCEPTED,DIAAAAUNBK5BKAJ,24169.7,24159.7,24179.7,2025-08-08T14:17:20.194Z,2025-08-08T14:17:46.237Z,24159.7,2025-08-08T14:17:46.237Z,50.097207604877305,0.6675630842142287,mean-reverting,downtrend,BUY,0.0033076166141787766,,1.401931,CLOSED
2025-08-08T14:20:51.599Z,FTSE 100,SELL,1,9082.6,10,10,WAS2WKBBM4NTZDZ,ACCEPTED,DIAAAAUNBMHZKA3,9082.6,9092.6,9072.6,2025-08-08T14:20:51.666Z,2025-08-08T14:24:27.018Z,,2025-08-08T14:24:27.018Z,41.075624847570644,0.2825400887253836,mean-reverting,downtrend,SELL,-0.005504546755619177,,0.682447,CLOSED
2025-08-08T14:25:36.690Z,FTSE 100,SELL,1,9087.8,10,10,LFRUV2RJWJ2TZDZ,ACCEPTED,DIAAAAUNBM47PA2,9087.8,9097.8,9077.8,2025-08-08T14:25:36.786Z,2025-08-08T14:29:34.297Z,,2025-08-08T14:29:34.297Z,47.853749390213046,0.3340724856922525,mean-reverting,uptrend,SELL,-0.005503032170728339,,0.428282,CLOSED
2025-08-08T14:29:18.853Z,DAX,BUY,1,24189.9,10,10,32Z88BBA3FWTZDZ,ACCEPTED,,,,,2025-08-08T14:29:18.855Z,2025-08-08T14:33:24.655Z,24199.9,2025-08-08T14:33:24.655Z,43.470118326116456,0.4465356714176045,mean-reverting,downtrend,BUY,-0.004135324354170855,,0.625047,CLOSED
2025-08-08T14:31:50.254Z,FTSE 100,SELL,1,9091.2,10,10,ZHA5YAX8F3ETZDZ,ACCEPTED,,,,,,2025-08-08T15:55:58.098Z,9101.2,2025-08-08T15:55:58.098Z,40.32793752931472,0.3313434267291447,trending,downtrend,SELL,-0.010996744963487348,,2.387033,CLOSED
2025-08-08T14:34:46.527Z,FTSE 100,SELL,1,9090.6,10,10,RKY753XH3WWTZDZ,ACCEPTED,,,,,,2025-08-08T15:55:56.689Z,9100.6,2025-08-08T15:55:56.689Z,57.73836602082304,0.30988669720812595,mean-reverting,uptrend,SELL,0.004400101202328699,,0.674424,CLOSED
2025-08-08T14:37:17.258Z,FTSE 100,SELL,1,9089.7,10,10,982NY9CN7YWTZDZ,ACCEPTED,,,,,,2025-08-08T15:55:40.619Z,9099.7,2025-08-08T15:55:40.619Z,41.48916978358896,0.25788923136050257,mean-reverting,downtrend,SELL,-0.007702041040880125,,1.413758,CLOSED
2025-08-08T14:41:24.217Z,FTSE 100,SELL,1,9086.7,10,10,HY9EZ6YSUFETZDZ,ACCEPTED,DIAAAAUNBTDS5AZ,9086.7,9096.7,9076.7,2025-08-08T14:41:24.258Z,2025-08-08T14:44:47.396Z,,2025-08-08T14:44:47.396Z,35.1258505748264,0.25570854403206006,mean-reverting,downtrend,SELL,-0.004402668016811884,,0.490303,CLOSED
2025-08-08T14:46:06.076Z,FTSE 100,SELL,1,9089.1,10,10,2LL9ELUCD2ETZDZ,ACCEPTED,,,,,,2025-08-08T15:55:35.717Z,9099.1,2025-08-08T15:55:35.717Z,50.53210841133635,0.2858772959618836,mean-reverting,downtrend,SELL,0,,0.713052,CLOSED
2025-08-08T14:49:04.518Z,FTSE 100,SELL,1,9091.9,10,10,33SLHNLDL6WTZDZ,ACCEPTED,,,,,,2025-08-08T16:01:47.349Z,9101.9,2025-08-08T16:01:47.349Z,42.13589854565767,0.26817204868255584,mean-reverting,downtrend,SELL,-0.0033009110514403694,,0.879352,CLOSED
2025-08-08T16:34:42.177Z,FTSE 100,SELL,1,9096.3,10,10,VH9D267ECH2TZDZ,ACCEPTED,DIAAAAUNC3L3BAB,9096.3,9106.3,9086.3,2025-08-08T21:17:08.976Z,2025-08-08T21:18:04.794Z,9106.3,2025-08-08T21:18:04.794Z,45.562208673206165,0.2653089181940731,mean-reverting,downtrend,SELL,-0.0021985994921314145,,1.714398,CLOSED
